"","Location","Range_Min","Range_Max","Magic","Avg_Relative_Error","Max_Relative_Error","N","Bottom"
"2972",20,0.3101806640625,0.32568359375,1597272234,6.02503314439673e-06,1.79260732693365e-05,128,"point0156"
"2973",21,0.32568359375,0.3411865234375,1597182221,3.58587453774817e-06,1.07928417492076e-05,128,"point0156"
"2974",22,0.3411865234375,0.356689453125,1597115763,1.93945015780628e-06,5.77946002522367e-06,128,"point0156"
"2975",23,0.356689453125,0.3721923828125,1597070276,8.43243299186724e-07,2.49242384597892e-06,128,"point0156"
"2976",24,0.3721923828125,0.3876953125,1597043806,2.33436253438413e-07,7.27464282590518e-07,128,"point0156"
"2977",25,0.3876953125,0.4031982421875,1597033726,3.08284597849706e-08,1.50909016838341e-07,128,"point0156"
"2978",26,0.4031982421875,0.418701171875,1597040352,1.49200758414736e-07,4.62815478385892e-07,128,"point0156"
"2979",27,0.418701171875,0.4342041015625,1597060290,5.55002202418109e-07,1.69713746345224e-06,128,"point0156"
"2980",28,0.4342041015625,0.44970703125,1597092934,1.19853427804628e-06,3.59738623956218e-06,128,"point0156"
"2981",29,0.44970703125,0.4652099609375,1597137359,2.05372680284199e-06,6.15557519267895e-06,128,"point0156"
"2982",30,0.4652099609375,0.480712890625,1597192352,3.01918862533057e-06,9.17434681468876e-06,128,"point0156"
"2983",31,0.480712890625,0.4962158203125,1597257293,4.17655428464059e-06,1.26458562590415e-05,128,"point0156"
"2984",32,0.4962158203125,0.51171875,1597290919,1.33686262415722e-06,4.00795579480473e-06,128,"point0156"
"2985",33,0.51171875,0.5272216796875,1597249900,1.75824641246436e-06,5.36653669769294e-06,128,"point0156"
"2986",34,0.5272216796875,0.542724609375,1597210120,1.251394337487e-06,3.80858796233952e-06,128,"point0156"
"2987",35,0.542724609375,0.5582275390625,1597177362,8.34049899367528e-07,2.58285740528663e-06,128,"point0156"
"2988",36,0.5582275390625,0.57373046875,1597151539,5.27865552157891e-07,1.62530966463237e-06,128,"point0156"
"2989",37,0.57373046875,0.5892333984375,1597131822,2.96258320986453e-07,9.15067857931717e-07,128,"point0156"
"2990",38,0.5892333984375,0.604736328125,1597117905,1.3490776495928e-07,4.63506722780949e-07,128,"point0156"
"2991",39,0.604736328125,0.6202392578125,1597110066,5.12017024334455e-08,1.8776424326461e-07,128,"point0156"
"2992",40,0.6202392578125,0.6357421875,1597106490,2.63360266927748e-08,9.50489038586966e-08,128,"point0156"
"2993",41,0.6357421875,0.6512451171875,1597109404,5.38792193083282e-08,1.91074320810003e-07,128,"point0156"
"2994",42,0.6512451171875,0.666748046875,1597114949,9.73531655290572e-08,3.85003659175709e-07,128,"point0156"
"2995",43,0.666748046875,0.6822509765625,1597125513,2.01959764467574e-07,6.81645644817763e-07,128,"point0156"
"2996",44,0.6822509765625,0.69775390625,1597140151,3.46465441225519e-07,1.09531663383677e-06,128,"point0156"
